date,open,high,low,close,volume_hands,rsi_14,macd_dif,macd_dea,macd_hist,bb_mid_20,bb_upper_20,bb_lower_20,bb_width_20,bb_percent_b_20,true_range,atr_14,atr_pct_14
20251014,10.69,10.72,10.47,10.55,44046.0,45.16483995031904,-0.1717246695875616,-0.20976945037392417,0.03804478078636256,10.6695,11.111575249607851,10.227424750392148,0.08286709772863804,0.3648420148990443,0.25,0.35230934550929494,3.3394250759174877
20251015,10.55,11.02,10.51,11.0,97213.02,54.325245943766525,-0.1272442855555891,-0.19326441741025716,0.06602013185466807,10.6705,11.115612640977485,10.225387359022516,0.08342863801649114,0.8701310293911276,0.5099999999999998,0.36357296368720243,3.305208760792749
20251016,11.0,11.24,10.69,10.76,89099.0,49.56915116958549,-0.11009020364386402,-0.17662957465697854,0.06653937101311452,10.660499999999999,11.086817153993982,10.234182846006016,0.07998070521907659,0.6166971573484997,0.5500000000000007,0.376889180566688,3.502687551735019
20251017,10.88,10.88,10.6,10.64,40045.99,47.337585904027,-0.10496845623560347,-0.16229735097270354,0.05732889473710007,10.6425,11.03772811534347,10.24727188465653,0.0742735476332571,0.4968372695375848,0.28000000000000114,0.36996852481192466,3.4771477895857577
20251020,10.62,10.71,10.55,10.71,33473.0,48.785985543374515,-0.0941754238646233,-0.1486729655510875,0.0544975416864642,10.635000000000002,11.018364605894558,10.251635394105445,0.07209489532572752,0.5978181068972078,0.16000000000000014,0.35497077303964436,3.31438630289117
20251021,10.71,10.9,10.64,10.9,43559.0,52.59694412121447,-0.0694894250114082,-0.13283625744315164,0.06334683243174344,10.644499999999999,11.04473545701585,10.244264542984148,0.07520042407174622,0.8191871128872552,0.2599999999999998,0.3481871463939555,3.1943774898528026
20251022,10.84,11.05,10.83,10.94,40418.0,53.383404833423484,-0.04616575724878835,-0.115502157404279,0.06933640015549064,10.6425,11.036019878452027,10.248980121547973,0.0739525259012501,0.877998693700383,0.22000000000000064,0.33903092165153015,3.0990029401419577
20251023,10.91,11.06,10.84,11.06,53333.0,55.75500141735998,-0.01779347330657899,-0.095960420584739,0.07816694727816001,10.6495,11.067992281259452,10.231007718740548,0.07859378961631097,0.9904511007522071,0.22000000000000064,0.3305287129621352,2.988505542153121
20251024,11.02,11.28,11.0,11.21,67006.53,58.590900357878176,0.016604110674428796,-0.07344751433290544,0.09005162500733424,10.675,11.162852436706077,10.187147563293925,0.09140092490980345,1.0483215412556501,0.27999999999999936,0.32691951917912554,2.9163204208664184
20251027,10.95,10.95,10.7,10.77,102248.0,48.72523069544043,0.00826484899944191,-0.05710504166643598,0.0653698906658779,10.682,11.171149638067032,10.192850361932969,0.0915839052737374,0.5899520240347597,0.5100000000000016,0.3399966963806167,3.1568866887708142
20251028,10.75,10.95,10.71,10.74,56033.03,48.13016216401033,-0.0007561092815251413,-0.04583525518945381,0.04507914590792867,10.697,11.17312912888047,10.220870871119528,0.08902105803131177,0.5451558173946504,0.23999999999999844,0.33285407521057253,3.099199955405703
20251029,10.75,10.78,10.38,10.51,80148.0,43.72156843857135,-0.02616277335599726,-0.04190075882276251,0.015737985466765247,10.713000000000001,11.135927143159561,10.29007285684044,0.07895587476142261,0.260005945133422,0.3999999999999986,0.3376502126955315,3.212656638397065
20251030,10.52,10.59,10.38,10.39,50687.0,41.581531228574356,-0.05534277770658491,-0.04458916259952699,-0.01075361510705792,10.7035,11.147039590590408,10.259960409409592,0.08287748691370263,0.14659299118857602,0.20999999999999908,0.32853234036013634,3.1620052007712833
20251031,10.39,10.77,10.38,10.7,65839.54,48.58311777451291,-0.05284457282221133,-0.046240244644063865,-0.006604328178147469,10.715,11.144761255631728,10.285238744368272,0.08021675326770476,0.48254845009474934,0.3899999999999988,0.3329228874772694,3.111428854927752
20251103,10.7,10.95,10.64,10.93,68184.0,53.07663363839072,-0.0319374940914674,-0.04337969453354457,0.011442200442077173,10.738,11.161747690569767,10.314252309430232,0.07892488183456273,0.7265499072594811,0.3099999999999987,0.33128553837175007,3.0309747335018304
